DISTRIBUIDORA;Universo Provável;Tipo de Embalagem
AMAZONGAS;1.188.265; P13
AMAZONGAS;0; P5
AMAZONGAS;246.341; P7
AMAZONGAS;0; P8
AMAZONGAS;1.320.910;Total de P13 equivalente
AMAZONGAS;8.586;Limite de P13 equivalente
BAHIANA;6.500.000; P13
BAHIANA;17.500; P5
BAHIANA;0; P7
BAHIANA;0; P8
BAHIANA;6.506.731;Total de P13 equivalente
BAHIANA;42.294;Limite de P13 equivalente
CIA ULTRAGAZ;18.052.165; P13
CIA ULTRAGAZ;158.772; P5
CIA ULTRAGAZ;0; P7
CIA ULTRAGAZ;0; P8
CIA ULTRAGAZ;18.113.231;Total de P13 equivalente
CIA ULTRAGAZ;117.736;Limite de P13 equivalente
CONSIGAZ/GASBALL;5.320.153; P13
CONSIGAZ/GASBALL;1.977; P5
CONSIGAZ/GASBALL;0; P7
CONSIGAZ/GASBALL;0; P8
CONSIGAZ/GASBALL;5.320.913;Total de P13 equivalente
CONSIGAZ/GASBALL;34.586;Limite de P13 equivalente
COPAGAZ;9.654.232; P13
COPAGAZ;0; P5
COPAGAZ;0; P7
COPAGAZ;0; P8
COPAGAZ;9.654.232;Total de P13 equivalente
COPAGAZ;62.753;Limite de P13 equivalente
LIQUIGAS;24.929.337; P13
LIQUIGAS;55.639; P5
LIQUIGAS;0; P7
LIQUIGAS;304.795; P8
LIQUIGAS;25.138.303;Total de P13 equivalente
LIQUIGAS;163.399;Limite de P13 equivalente
MAXI CHAMA;32.585; P13
MAXI CHAMA;0; P5
MAXI CHAMA;0; P7
MAXI CHAMA;0; P8
MAXI CHAMA;32.585;Total de P13 equivalente
MAXI CHAMA;212;Limite de P13 equivalente
MINASGAS;1.500.000; P13
MINASGAS;0; P5
MINASGAS;0; P7
MINASGAS;0; P8
MINASGAS;1.500.000;Total de P13 equivalente
MINASGAS;9.750;Limite de P13 equivalente
NACIONAL GÁS/PARAGAS;27.776.504; P13
NACIONAL GÁS/PARAGAS;0; P5
NACIONAL GÁS/PARAGAS;0; P7
NACIONAL GÁS/PARAGAS;0; P8
NACIONAL GÁS/PARAGAS;27.776.504;Total de P13 equivalente
NACIONAL GÁS/PARAGAS;180.547;Limite de P13 equivalente
NUTRIGAS;447.059; P13
NUTRIGAS;0; P5
NUTRIGAS;0; P7
NUTRIGAS;0; P8
NUTRIGAS;447.059;Total de P13 equivalente
NUTRIGAS;2.906;Limite de P13 equivalente
ONOGAS;756.343; P13
ONOGAS;0; P5
ONOGAS;0; P7
ONOGAS;0; P8
ONOGAS;756.343;Total de P13 equivalente
ONOGAS;4.916;Limite de P13 equivalente
SERVGAS;1.010.539; P13
SERVGAS;0; P5
SERVGAS;0; P7
SERVGAS;0; P8
SERVGAS;1.010.539;Total de P13 equivalente
SERVGAS;6.569;Limite de P13 equivalente
SOC. FOGAS;2.363.636; P13
SOC. FOGAS;278.981; P5
SOC. FOGAS;0; P7
SOC. FOGAS;445.600; P8
SOC. FOGAS;2.745.152;Total de P13 equivalente
SOC. FOGAS;17.843;Limite de P13 equivalente
SUPERGASBRAS;20.556.404; P13
SUPERGASBRAS;24.769; P5
SUPERGASBRAS;0; P7
SUPERGASBRAS;0; P8
SUPERGASBRAS;20.565.931;Total de P13 equivalente
SUPERGASBRAS;133.679;Limite de P13 equivalente
