Data,Cód Regulado ANP,Produtor-Importador,Código do Produto,Descrição do Produto,Região do Destinatário,UF do Destinatário,Volume-Litros
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620101002,ENGRENAGENS E SISTEMAS CIRCULATÓRIOS,SUL,PR,168
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620101002,ENGRENAGENS E SISTEMAS CIRCULATÓRIOS,SUL,SC,120
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620501001,Ciclo Otto,SUL,PR,1856
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620501001,Ciclo Otto,SUL,SC,72
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620501002,Ciclo Diesel,SUL,PR,1060
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUL,PR,9824
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUL,RS,14600
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUL,SC,75288
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620601004,Outros Óleos Lubrificantes Acabados,NORDESTE,BA,175512
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620601004,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,15000
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620601004,Outros Óleos Lubrificantes Acabados,SUL,PR,107477
06/2019,200296,TG Indústria e Comércio de Lubrificantes e Graxas Ltda. - EPP,620601004,Outros Óleos Lubrificantes Acabados,SUL,SC,8000
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620101002,ENGRENAGENS E SISTEMAS CIRCULATÓRIOS,SUDESTE,SP,220
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620101005,Isolante Tipo B,CENTRO OESTE,GO,600
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620101005,Isolante Tipo B,SUDESTE,SP,2660
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUDESTE,SP,1520
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUL,PR,100
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUL,RS,1000
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,NORDESTE,PB,1200
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,NORDESTE,PE,360
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,SUDESTE,MG,400
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,23000
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,SUL,PR,560
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,SUL,RS,5100
06/2019,245992,CADIUM COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA,620601004,Outros Óleos Lubrificantes Acabados,SUL,SC,420
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620101002,ENGRENAGENS E SISTEMAS CIRCULATÓRIOS,SUDESTE,MG,200
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620101002,ENGRENAGENS E SISTEMAS CIRCULATÓRIOS,SUDESTE,SP,29800
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,BA,12480
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,MA,31000
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,PI,9600
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUDESTE,MG,17360
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUDESTE,SP,8080
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUL,PR,13120
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,NORDESTE,BA,680
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,NORDESTE,PI,9200
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,SUDESTE,MG,5680
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,SUDESTE,SP,17800
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,SUL,PR,9320
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620502001,Motores 2 tempos,NORDESTE,PI,1000
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620502001,Motores 2 tempos,SUDESTE,MG,100
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620502001,Motores 2 tempos,SUDESTE,SP,100
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620502001,Motores 2 tempos,SUL,PR,100
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,NORDESTE,BA,5480
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,NORDESTE,MA,13200
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,NORDESTE,PI,8540
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUDESTE,MG,10880
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUDESTE,SP,69352
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUL,PR,14640
06/2019,384068,FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620601004,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,354671
06/2019,543854,LUMA OIL INDÚSTRIA E COMÉRCIO LTDA,620101002,ENGRENAGENS E SISTEMAS CIRCULATÓRIOS,SUDESTE,SP,200
06/2019,543854,LUMA OIL INDÚSTRIA E COMÉRCIO LTDA,620503001,TRANSMISSÕES E SISTEMAS HIDRÁULICOS,SUDESTE,SP,2000
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,CENTRO OESTE,DF,48224
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,CENTRO OESTE,GO,58656
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,CENTRO OESTE,MT,936
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,BA,28112
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,CE,20592
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,MA,12480
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,PB,42640
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,PE,25768
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,PI,14400
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORDESTE,RN,8712
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORTE,PA,1200
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,NORTE,RO,2520
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUDESTE,ES,8640
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUDESTE,MG,71240
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUL,PR,38224
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUL,RS,109936
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501001,Ciclo Otto,SUL,SC,37008
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,CENTRO OESTE,DF,8660
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,CENTRO OESTE,GO,20172
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,CENTRO OESTE,MT,8240
06/2019,616970,TECLUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.,620501002,Ciclo Diesel,NORDESTE,BA,5932
